mechanism,het,info,concentration,n,miss,n_pat,cov30,eff_pat,prev,mean_impute,mean_indicator,tuned_impute,tuned_indicator,safe_adaptive,safe_oracle,delta_vs_tuned_ind,p_vs_tuned_ind,wins,n_folds,kappa_median
MCAR,0.0,0.0,0.9,1000,0.1224375,12,0.943,2.973572115717008,0.106,0.714494630869641,0.7147038149879394,0.7118611389665733,0.7108972612039339,0.7124089926447822,0.7218115308307061,0.001511731440848232,0.670033053728423,8,25,1000.0
MCAR,0.0,0.0,0.9,4000,0.15184375,12,0.982,2.867321830264796,0.09725,0.8524087196380576,0.8527202696186458,0.8519613984269222,0.8532078058301478,0.8529957436000367,0.8574214110184544,-0.00021206223011085434,0.527107958944552,9,25,1000.0
MCAR,0.0,0.0,0.5,1000,0.1178125,57,0.702,14.345958887345661,0.104,0.7164185036617187,0.7313513071974015,0.7163947004712219,0.729365548823214,0.7346183070995128,0.754773709525221,0.005252758276298901,0.615043044090271,12,25,100.0
MCAR,0.0,0.0,0.5,4000,0.11584375,60,0.8565,13.95740703241044,0.09825,0.4980399360778097,0.49860733610261726,0.4977962992096351,0.4981990883144069,0.49923485132191464,0.5018758878601657,0.0010357630075077684,0.24886387493792206,4,25,1000000000.0
MCAR,0.0,0.0,0.1,1000,0.1161875,194,0.0,137.04983927341033,0.108,0.7223954318475836,0.6955417575977109,0.7229735831223959,0.6937131821344752,0.6914542534959028,0.7110122181260263,-0.0022589286385724973,0.48517001465180276,10,25,300.0
MCAR,0.0,0.0,0.1,4000,0.11921875,215,0.3815,153.76261076383608,0.1,0.5744334247224009,0.5741692766167511,0.573254947992875,0.5735936894324469,0.5905840106451169,0.5987260416050973,0.01699032121266999,0.0005564093589782715,20,25,300.0
MCAR,0.0,1.5,0.9,1000,0.1224375,12,0.943,2.973572115717008,0.104,0.6943783479281656,0.7001510430463534,0.6900379934942482,0.697900470076608,0.69817127154039,0.7067510852936898,0.00027080146378200443,0.8226996405586569,12,25,1000.0
MCAR,0.0,1.5,0.9,4000,0.15184375,12,0.982,2.867321830264796,0.09525,0.7934866834255844,0.8527343571063686,0.7937544048365851,0.852064459415865,0.8519550110900432,0.8548702321004928,-0.00010944832582177711,0.7803828692986929,13,25,1000.0
MCAR,0.0,1.5,0.5,1000,0.1178125,57,0.702,14.345958887345661,0.102,0.6919297151858299,0.6959157632629706,0.6868045983737272,0.6887385825853326,0.7163152324890264,0.7416284352020687,0.027576649903693844,0.0018439083987014078,19,25,100.0
MCAR,0.0,1.5,0.5,4000,0.11584375,60,0.8565,13.95740703241044,0.10075,0.4346955413330547,0.473653757130804,0.4340835571744412,0.47317350304015643,0.4800862031928142,0.490995222105815,0.006912700152657709,0.10731470584869385,16,25,1000.0
MCAR,0.0,1.5,0.1,1000,0.1161875,194,0.0,137.04983927341033,0.11,0.6942991089723725,0.6672447196998986,0.688627009669706,0.6597347077956176,0.6616129165644185,0.680013459606816,0.0018782087688009198,0.4654153212400317,13,25,100.0
MCAR,0.0,1.5,0.1,4000,0.11921875,215,0.3815,153.76261076383608,0.09725,0.5077230504546799,0.5052334214123887,0.5074236651546881,0.5042976753541741,0.5187671660874433,0.5283178724704901,0.014469490733269167,0.008822321891784668,18,25,300.0
MCAR,0.5,0.0,0.9,1000,0.1224375,12,0.943,2.973572115717008,0.108,0.7588820819727693,0.8171273603676751,0.7609855461284641,0.8083689824964783,0.80668939797795,0.815825804166374,-0.0016795845185282453,0.03598155654914873,3,25,1000000000.0
MCAR,0.5,0.0,0.9,4000,0.15184375,12,0.982,2.867321830264796,0.097,0.828855669336736,0.8274484289116455,0.8287963566090022,0.8289981013728988,0.8413435808833688,0.8451520703743627,0.012345479510470185,0.0005564093589782715,21,25,300.0
MCAR,0.5,0.0,0.5,1000,0.1178125,57,0.702,14.345958887345661,0.103,0.6118726762651295,0.5642323558882671,0.6102931986560698,0.5649419247651347,0.5718477869684634,0.6085563430388592,0.006905862203328641,0.12304482776906908,14,25,300.0
MCAR,0.5,0.0,0.5,4000,0.11584375,60,0.8565,13.95740703241044,0.09725,0.4979195134604455,0.5939388524232581,0.4979358533061784,0.5976147280859491,0.6102466660345284,0.619981341640324,0.012631937948579286,0.02027493715286255,18,25,300.0
MCAR,0.5,0.0,0.1,1000,0.1161875,194,0.0,137.04983927341033,0.108,0.5730830853289111,0.5559319830434104,0.5714801994140434,0.5545632353533625,0.5691595951403561,0.5853828950700488,0.01459635978699353,0.02254125866755857,17,25,100.0
MCAR,0.5,0.0,0.1,4000,0.11921875,215,0.3815,153.76261076383608,0.10125,0.48024739994729065,0.47296601814088396,0.48026004255224947,0.4730378522834865,0.4800878371380131,0.48943790973690376,0.007049984854526652,0.04867487567346901,16,25,1000.0
MCAR,0.5,1.5,0.9,1000,0.1224375,12,0.943,2.973572115717008,0.114,0.7204373199614937,0.7586873605348344,0.7180548191833883,0.7574307041537399,0.7574307041537399,0.7623621282087824,-6.661338147750939e-17,1.0,0,25,1000000000.0
MCAR,0.5,1.5,0.9,4000,0.15184375,12,0.982,2.867321830264796,0.097,0.793538179696641,0.845863457486198,0.7936349400529784,0.846701049830471,0.8541241084195782,0.8596296325498649,0.007423058589107301,0.010510802268981934,15,25,100.0
MCAR,0.5,1.5,0.5,1000,0.1178125,57,0.702,14.345958887345661,0.109,0.61079462212552,0.6004530843609366,0.6074070308446268,0.5933519311396552,0.6052454617048176,0.6417903882577396,0.011893530565162427,0.2586348521835137,12,25,100.0
MCAR,0.5,1.5,0.5,4000,0.11584375,60,0.8565,13.95740703241044,0.10125,0.4689299333937371,0.6052709132461017,0.4683700634420618,0.6122439195613872,0.61654528153146,0.6273106569034218,0.004301361970072897,0.2634761333465576,15,25,1000.0
MCAR,0.5,1.5,0.1,1000,0.1161875,194,0.0,137.04983927341033,0.104,0.5784078387230027,0.5742509736950466,0.5747140805667941,0.5565996522944681,0.5643717420590874,0.5925240371593778,0.0077720897646192276,0.07547956705093384,16,25,100.0
MCAR,0.5,1.5,0.1,4000,0.11921875,215,0.3815,153.76261076383608,0.09925,0.44616739090241603,0.4497396506887117,0.4453210433875455,0.44960133256569534,0.4575766902198675,0.4684938963237055,0.007975357654172153,0.08513903617858887,17,25,300.0
MCAR,1.5,0.0,0.9,1000,0.1224375,12,0.943,2.973572115717008,0.105,0.764231619585954,0.8689128207740007,0.7641743384066398,0.8754394550856524,0.8733566367478203,0.8806532772834379,-0.0020828183378318243,0.40358854248701626,13,25,1000000000.0
MCAR,1.5,0.0,0.9,4000,0.15184375,12,0.982,2.867321830264796,0.09575,0.6956555861638505,0.6802327987347475,0.6949406457753714,0.6801118020988491,0.807272185976839,0.8096274381178885,0.1271603838779899,5.960464477539063e-08,25,25,30.0
MCAR,1.5,0.0,0.5,1000,0.1178125,57,0.702,14.345958887345661,0.102,0.464458715443875,0.43054267839944144,0.4650109827643298,0.4311255142252346,0.4919594848380673,0.5244629447927192,0.06083397061283278,0.0011548399925231934,18,25,30.0
MCAR,1.5,0.0,0.5,4000,0.11584375,60,0.8565,13.95740703241044,0.10075,0.48509197181587127,0.6043295306634286,0.48517254993025594,0.6053919126702,0.638409364361758,0.6445532237812405,0.03301745169155797,1.9669532775878906e-06,22,25,300.0
MCAR,1.5,0.0,0.1,1000,0.1161875,194,0.0,137.04983927341033,0.101,0.435565746123355,0.4182983644108256,0.4293698122739591,0.417511517983635,0.42107276528936666,0.4444246625696855,0.003561247305731592,0.27760541836356367,14,25,100.0
